position,gsis_id,display_name,sleeper_id
QB,00-0022942,Philip Rivers,331
QB,00-0023459,Aaron Rodgers,96
QB,00-0026158,Joe Flacco,19
QB,00-0026300,Josh Johnson,260
QB,00-0026498,Matthew Stafford,421
QB,00-0027973,Andy Dalton,829
QB,00-0028118,Tyrod Taylor,827
QB,00-0029263,Russell Wilson,1234
QB,00-0029604,Kirk Cousins,1166
QB,00-0028986,Case Keenum,1737
QB,00-0030565,Geno Smith,1373
QB,00-0031237,Teddy Bridgewater,2152
QB,00-0031280,Derek Carr,2028
QB,00-0031345,Jimmy Garoppolo,1837
QB,00-0031503,Jameis Winston,2306
QB,00-0031800,Taylor Heinicke,2711
QB,00-0032156,Trevor Siemian,2549
QB,00-0032268,Marcus Mariota,2307
QB,00-0032434,Brandon Allen,3357
QB,00-0032436,Jeff Driskel,3362
QB,00-0032950,Carson Wentz,3161
QB,00-0033077,Dak Prescott,3294
QB,00-0033106,Jared Goff,3163
QB,00-0033119,Jacoby Brissett,3257
QB,00-0033319,Nick Mullens,4464
QB,00-0033357,Taysom Hill,4381
QB,00-0033537,Deshaun Watson,4017
QB,00-0033662,Cooper Rush,4574
QB,00-0033869,Mitchell Trubisky,3976
QB,00-0033873,Patrick Mahomes,4046
QB,00-0033936,C.J. Beathard,4127
QB,00-0033949,Joshua Dobbs,4179
QB,00-0034401,Mike White,5089
QB,00-0034438,Logan Woodside,5128
QB,00-0034577,Kyle Allen,5127
QB,00-0034771,Mason Rudolph,4972
QB,00-0034796,Lamar Jackson,4881
QB,00-0034855,Baker Mayfield,4892
QB,00-0034857,Josh Allen,4984
QB,00-0034869,Sam Darnold,4943
QB,00-0034899,John Wolford,5806
QB,00-0034955,Brett Rypien,6037
QB,00-0035100,Jake Browning,6111
QB,00-0035228,Kyler Murray,5849
QB,00-0035251,Will Grier,5903
QB,00-0035264,Jarrett Stidham,6136
QB,00-0035282,Easton Stick,6185
QB,00-0035289,Gardner Minshew,6011
TE,00-0035356,Tyree Jackson,6040
QB,00-0035704,Drew Lock,5854
QB,00-0035710,Daniel Jones,5870
QB,00-0035939,Bryce Perkins,7335
QB,00-0035993,Tyler Huntley,7083
QB,00-0036212,Tua Tagovailoa,6768
QB,00-0036264,Jordan Love,6804
QB,00-0036355,Justin Herbert,6797
QB,00-0036384,Ben DiNucci,7143
QB,00-0036389,Jalen Hurts,6904
QB,00-0036442,Joe Burrow,6770
QB,00-0036679,Shane Buechele,8002
TE,00-0036825,Feleipe Franks,7531
