name,pos,team,gsis_id
Josh Allen,QB,BUF,00-0034857
Drake Maye,QB,NE,00-0039851
Matthew Stafford,QB,LA,00-0026498
Trevor Lawrence,QB,JAX,00-0036971
Caleb Williams,QB,CHI,00-0039918
Dak Prescott,QB,DAL,00-0033077
Bo Nix,QB,DEN,00-0039732
Jalen Hurts,QB,PHI,00-0036389
Jared Goff,QB,DET,00-0033106
Justin Herbert,QB,LAC,00-0036355
Patrick Mahomes,QB,KC,00-0033873
Baker Mayfield,QB,TB,00-0034855
Jaxson Dart,QB,NYG,00-0040691
Sam Darnold,QB,SEA,00-0034869
Jordan Love,QB,GB,00-0036264
Jacoby Brissett,QB,ARI,00-0033119
Aaron Rodgers,QB,PIT,00-0023459
Daniel Jones,QB,IND,00-0035710
Bryce Young,QB,CAR,00-0039150
Lamar Jackson,QB,BAL,00-0034796
C.J. Stroud,QB,HOU,00-0039163
Cam Ward,QB,TEN,00-0040676
Brock Purdy,QB,SF,00-0037834
Geno Smith,QB,LV,00-0030565
Tua Tagovailoa,QB,MIA,00-0036212
Tyler Shough,QB,NO,00-0040743
Joe Flacco,QB,CIN,00-0026158
Justin Fields,QB,NYJ,00-0036945
Joe Burrow,QB,CIN,00-0036442
Mac Jones,QB,SF,00-0036972
Marcus Mariota,QB,WAS,00-0032268
J.J. McCarthy,QB,MIN,00-0039923
Michael Penix Jr.,QB,ATL,00-0039917
Jayden Daniels,QB,WAS,00-0039910
Kirk Cousins,QB,ATL,00-0029604
Spencer Rattler,QB,NO,00-0039376
Shedeur Sanders,QB,CLE,00-0040668
Kyler Murray,QB,ARI,00-0035228
Carson Wentz,QB,MIN,00-0032950
Dillon Gabriel,QB,CLE,00-0040704
Davis Mills,QB,HOU,00-0036898
Tyrod Taylor,QB,NYJ,00-0028118
Malik Willis,QB,GB,00-0038128
Russell Wilson,QB,NYG,00-0029263
Jake Browning,QB,CIN,00-0035100
Jameis Winston,QB,NYG,00-0031503
Tyler Huntley,QB,BAL,00-0035993
Quinn Ewers,QB,MIA,00-0040234
Philip Rivers,QB,IND,00-0022942
Mitchell Trubisky,QB,BUF,00-0033869
Riley Leonard,QB,IND,00-0040206
Brady Cook,QB,NYJ,00-0040398
Josh Johnson,QB,WAS,00-0026300
Mason Rudolph,QB,PIT,00-0034771
Tanner McKee,QB,PHI,00-0038400
Trey Lance,QB,LAC,00-0037012
Chris Oladokun,QB,KC,00-0037324
Joe Milton III,QB,DAL,00-0039398
Andy Dalton,QB,CAR,00-0027973
Kenny Pickett,QB,LV,00-0038102
Aidan O'Connell,QB,LV,00-0038579
Max Brosmer,QB,MIN,00-0040494
Shane Buechele,QB,KC,00-0036679
Teddy Bridgewater,QB,TB,00-0031237
Tyson Bagent,QB,CHI,00-0038416
Anthony Richardson,QB,IND,00-0039164
Joshua Dobbs,QB,NE,00-0033949
Clayton Tune,QB,GB,00-0038582
Cooper Rush,QB,BAL,00-0033662
Zach Wilson,QB,MIA,00-0037013
Brandon Allen,QB,TEN,00-0032434
Drew Lock,QB,SEA,00-0035704
Brett Rypien,QB,CIN,00-0034955
Nick Mullens,QB,JAX,00-0033319
Kedon Slovis,QB,ARI,00-0039577
Jarrett Stidham,QB,DEN,00-0035264
Adrian Martinez,QB,SF,00-0038658
Kyle Allen,QB,DET,00-0034577
Gardner Minshew,QB,KC,00-0035289
Jimmy Garoppolo,QB,LA,00-0031345
Jalen Milroe,QB,SEA,00-0040673
Christian McCaffrey,RB,SF,00-0033280
Bijan Robinson,RB,ATL,00-0038542
Jahmyr Gibbs,RB,DET,00-0039139
Jonathan Taylor,RB,IND,00-0036223
De'Von Achane,RB,MIA,00-0039040
James Cook,RB,BUF,00-0037248
Chase Brown,RB,CIN,00-0038597
Derrick Henry,RB,BAL,00-0032764
Kyren Williams,RB,LA,00-0037840
Travis Etienne,RB,JAX,00-0036973
Ashton Jeanty,RB,LV,00-0040122
Javonte Williams,RB,DAL,00-0036997
Josh Jacobs,RB,GB,00-0035700
Saquon Barkley,RB,PHI,00-0034844
D'Andre Swift,RB,CHI,00-0036275
Kenneth Gainwell,RB,PIT,00-0036919
Jaylen Warren,RB,PIT,00-0037228
Rico Dowdle,RB,CAR,00-0036139
Breece Hall,RB,NYJ,00-0038120
RJ Harvey,RB,DEN,00-0040730
TreVeyon Henderson,RB,NE,00-0040734
Kenneth Walker III,RB,SEA,00-0038134
Tony Pollard,RB,TEN,00-0035261
Zach Charbonnet,RB,SEA,00-0039165
Rhamondre Stevenson,RB,NE,00-0036875
Quinshon Judkins,RB,CLE,00-0040784
David Montgomery,RB,DET,00-0035685
Tyrone Tracy Jr.,RB,NYG,00-0039384
Kyle Monangai,RB,CHI,00-0040236
Kareem Hunt,RB,KC,00-0033923
Woody Marks,RB,HOU,00-0040583
Rachaad White,RB,TB,00-0037256
Jacory Croskey-Merritt,RB,WAS,00-0040242
Bucky Irving,RB,TB,00-0039361
Omarion Hampton,RB,LAC,00-0040666
Jordan Mason,RB,MIN,00-0037525
Cam Skattebo,RB,NYG,00-0040715
Chuba Hubbard,RB,CAR,00-0036555
Tyler Allgeier,RB,ATL,00-0037263
Blake Corum,RB,LA,00-0039738
Aaron Jones,RB,MIN,00-0033293
Kimani Vidal,RB,LAC,00-0039391
J.K. Dobbins,RB,DEN,00-0036158
Tyjae Spears,RB,TEN,00-0039032
Devin Singletary,RB,NYG,00-0035250
Alvin Kamara,RB,NO,00-0033906
Ty Johnson,RB,BUF,00-0035537
Michael Carter,RB,ARI,00-0036924
Emanuel Wilson,RB,GB,00-0038797
Bam Knight,RB,ARI,00-0037157
Chris Rodriguez Jr.,RB,WAS,00-0038611
Sean Tucker,RB,TB,00-0038951
Bhayshul Tuten,RB,JAX,00-0040719
Nick Chubb,RB,HOU,00-0034791
Dylan Sampson,RB,CLE,00-0040162
Isiah Pacheco,RB,KC,00-0037197
Samaje Perine,RB,CIN,00-0033526
Jeremy McNichols,RB,WAS,00-0033955
Isaiah Davis,RB,NYJ,00-0039798
Justice Hill,RB,BAL,00-0034975
Ray Davis,RB,BUF,00-0039875
Brashard Smith,RB,KC,00-0040078
Brian Robinson,RB,SF,00-0037746
Devin Neal,RB,NO,00-0040202
Emari Demercado,RB,ARI,00-0038705
Keaton Mitchell,RB,BAL,00-0038454
Ollie Gordon II,RB,MIA,00-0040198
Tank Bigsby,RB,PHI,00-0038555
Jaylen Wright,RB,MIA,00-0039874
Audric Estimé,RB,NO,00-0039373
